연도,시군구,외국인노동자수
2010,춘천시,652
2010,원주시,1105
2010,강릉시,410
2010,동해시,211
2010,태백시,106
2010,속초시,445
2010,삼척시,217
2010,홍천군,387
2010,횡성군,263
2010,영월군,101
2010,평창군,138
2010,정선군,120
2010,철원군,219
2010,화천군,95
2010,양구군,95
2010,인제군,156
2010,고성군,1164
2010,양양군,209
2011,춘천시,680
2011,원주시,1160
2011,강릉시,440
2011,동해시,228
2011,태백시,107
2011,속초시,465
2011,삼척시,196
2011,홍천군,519
2011,횡성군,268
2011,영월군,113
2011,평창군,153
2011,정선군,134
2011,철원군,279
2011,화천군,106
2011,양구군,160
2011,인제군,215
2011,고성군,1450
2011,양양군,171
2012,춘천시,602
2012,원주시,1050
2012,강릉시,401
2012,동해시,207
2012,태백시,103
2012,속초시,423
2012,삼척시,398
2012,홍천군,346
2012,횡성군,223
2012,영월군,109
2012,평창군,110
2012,정선군,113
2012,철원군,276
2012,화천군,78
2012,양구군,101
2012,인제군,180
2012,고성군,1453
2012,양양군,122
2013,춘천시,643
2013,원주시,1079
2013,강릉시,432
2013,동해시,223
2013,태백시,89
2013,속초시,428
2013,삼척시,418
2013,홍천군,397
2013,횡성군,304
2013,영월군,78
2013,평창군,144
2013,정선군,104
2013,철원군,357
2013,화천군,88
2013,양구군,101
2013,인제군,166
2013,고성군,1405
2013,양양군,131
2014,춘천시,670
2014,원주시,1298
2014,강릉시,506
2014,동해시,273
2014,태백시,91
2014,속초시,442
2014,삼척시,265
2014,홍천군,480
2014,횡성군,346
2014,영월군,87
2014,평창군,185
2014,정선군,89
2014,철원군,382
2014,화천군,100
2014,양구군,121
2014,인제군,190
2014,고성군,1542
2014,양양군,124
2015,춘천시,607
2015,원주시,1424
2015,강릉시,577
2015,동해시,301
2015,태백시,80
2015,속초시,436
2015,삼척시,286
2015,홍천군,476
2015,횡성군,383
2015,영월군,70
2015,평창군,257
2015,정선군,81
2015,철원군,398
2015,화천군,93
2015,양구군,93
2015,인제군,197
2015,고성군,1684
2015,양양군,147
2016,춘천시,600
2016,원주시,1379
2016,강릉시,624
2016,동해시,281
2016,태백시,79
2016,속초시,471
2016,삼척시,337
2016,홍천군,524
2016,횡성군,376
2016,영월군,70
2016,평창군,204
2016,정선군,58
2016,철원군,467
2016,화천군,104
2016,양구군,109
2016,인제군,188
2016,고성군,1527
2016,양양군,164
2017,춘천시,574
2017,원주시,1381
2017,강릉시,588
2017,동해시,456
2017,태백시,72
2017,속초시,512
2017,삼척시,346
2017,홍천군,578
2017,횡성군,341
2017,영월군,77
2017,평창군,207
2017,정선군,53
2017,철원군,521
2017,화천군,109
2017,양구군,115
2017,인제군,169
2017,고성군,1312
2017,양양군,163
2018,춘천시,609
2018,원주시,1372
2018,강릉시,629
2018,동해시,481
2018,태백시,69
2018,속초시,579
2018,삼척시,361
2018,홍천군,583
2018,횡성군,331
2018,영월군,76
2018,평창군,132
2018,정선군,58
2018,철원군,517
2018,화천군,129
2018,양구군,116
2018,인제군,178
2018,고성군,1212
2018,양양군,187
2019,춘천시,563
2019,원주시,1271
2019,강릉시,653
2019,동해시,505
2019,태백시,63
2019,속초시,566
2019,삼척시,349
2019,홍천군,553
2019,횡성군,361
2019,영월군,69
2019,평창군,153
2019,정선군,75
2019,철원군,500
2019,화천군,122
2019,양구군,111
2019,인제군,175
2019,고성군,1267
2019,양양군,173
2020,춘천시,477
2020,원주시,1118
2020,강릉시,606
2020,동해시,474
2020,태백시,52
2020,속초시,505
2020,삼척시,309
2020,홍천군,467
2020,횡성군,327
2020,영월군,55
2020,평창군,143
2020,정선군,61
2020,철원군,428
2020,화천군,95
2020,양구군,93
2020,인제군,134
2020,고성군,1104
2020,양양군,168
2021,춘천시,450
2021,원주시,972
2021,강릉시,615
2021,동해시,319
2021,태백시,52
2021,속초시,501
2021,삼척시,280
2021,홍천군,431
2021,횡성군,333
2021,영월군,58
2021,평창군,167
2021,정선군,64
2021,철원군,421
2021,화천군,104
2021,양구군,193
2021,인제군,141
2021,고성군,997
2021,양양군,155
2022,춘천시,537
2022,원주시,1087
2022,강릉시,726
2022,동해시,403
2022,태백시,59
2022,속초시,620
2022,삼척시,350
2022,홍천군,543
2022,횡성군,483
2022,영월군,68
2022,평창군,207
2022,정선군,72
2022,철원군,583
2022,화천군,106
2022,양구군,249
2022,인제군,375
2022,고성군,1217
2022,양양군,187
2023,춘천시,606
2023,원주시,1288
2023,강릉시,867
2023,동해시,465
2023,태백시,80
2023,속초시,677
2023,삼척시,393
2023,홍천군,627
2023,횡성군,591
2023,영월군,125
2023,평창군,229
2023,정선군,80
2023,철원군,642
2023,화천군,151
2023,양구군,261
2023,인제군,393
2023,고성군,1682
2023,양양군,219
2024,춘천시,645
2024,원주시,1499
2024,강릉시,899
2024,동해시,470
2024,태백시,118
2024,속초시,790
2024,삼척시,395
2024,홍천군,648
2024,횡성군,671
2024,영월군,162
2024,평창군,246
2024,정선군,101
2024,철원군,694
2024,화천군,182
2024,양구군,290
2024,인제군,407
2024,고성군,1877
2024,양양군,265
